Name,CodeName,Type,TypeName,Etat,SubEtat,DES,ETA,Worlds,Engines,OffsetBX,OffsetBY,OffsetHY,FollowSprite,HitPoints,HitSprite,FollowEnabled,ConnectedEvents,LabelOffsets,Commands
Prickly Platform (Red Horizontal),MS_cpl_red2,106,TYPE_MOVE_MARTEAU,0,1,CPR,CPL,1-2-3-4-5-6,KIT-EDU,18,32,5,0,1,254,True,,1-9,11-99-20-1-2-0-23-0-11-99-20-1-254-0-23-1-33-255
Prickly Big (Blue),MS_cpl_bpic,107,TYPE_GROSPIC,0,3,CPL,CPL,1-3-5-6,R1-KIT-EDU,18,32,0,0,0,255,False,,,2-254-33-255
Prickly Big (Red Insta-kill),MS_cpl_bpic_insta,107,TYPE_GROSPIC,0,3,CPR,CPL,1-2-3-4-5-6,KIT-EDU,18,32,0,0,1,255,False,,,2-254-33-255
Mr Dark (Electoons),always,108,TYPE_DARK2_PINK_FLY,2,2,ELE,VIR,6,R1-KIT-EDU,16,64,48,0,0,0,False,MS_dark_phase2,,2-254-33-255
Boulder (Breakable),MS_pierre,109,TYPE_PI,0,0,MUS,PI,3,R1-KIT-EDU,80,96,16,2,4,254,True,,,2-254-33-255
Boulder (Breakable),MS_pierre,109,TYPE_PI,0,0,MUV,PI,5,R1-KIT-EDU,80,96,16,2,4,254,True,,,2-254-33-255
Boulder (Destroyed),always,110,TYPE_PI_BOUM,2,0,MUS,PI,3,R1-KIT-EDU,80,96,0,0,0,0,False,MS_pierre-MS_pierre_surprise,,11-1-2-254-33-255
Boulder (Destroyed),always,110,TYPE_PI_BOUM,2,0,MUV,PI,5,R1-KIT-EDU,80,96,0,0,0,0,False,MS_pierre-MS_pierre_surprise,,11-1-2-254-33-255
Boulder (Guitar),MS_pierre_surprise,111,TYPE_PI_MUS,0,2,MUS,PI,3,R1-KIT-EDU,160,176,16,2,4,254,False,,,2-254-33-255
Boulder (Guitar),MS_pierre_surprise,111,TYPE_PI_MUS,0,2,MUV,PI,5,R1-KIT-EDU,160,176,16,2,4,254,False,,,2-254-33-255
Washing Machine (1),always,112,TYPE_WASHING_MACHINE,0,37,SMA2,SMA2,4,R1,128,200,100,0,0,254,False,MS_sma2,,
Mallet,MS_ubi_bag1,113,TYPE_BAG1,0,4,BAG,BAG,2,R1-KIT-EDU,112,112,3,0,0,253,False,,,5-4-19-1-5-5-2-30-33-255
Mallet (Fast),MS_ubi_bag2,113,TYPE_BAG1,0,4,BAG,BAG,2,R1-KIT-EDU,112,112,3,0,0,253,False,,,5-4-19-1-5-5-2-15-33-255
Cloud (Mr Stone),always,115,TYPE_BB1_PLAT,0,4,NUA,NUA,3,R1-EDU,64,0,12,0,0,0,True,MS_BB1,1,3-56-2-254-23-0-33-255
Clown Bomber (Follow),MS_ubi_tnt_rafale,116,TYPE_CLOWN_TNT,0,0,TNT,TNT,6,R1-KIT-EDU,80,96,30,0,2,255,False,,146-38-64-14-26-14-26-146-146-14-26-146,11-8-17-70-27-0-17-2-0-26-1-24-2-11-0-8-0-5-1-20-25-253-0-24-3-11-1-8-0-5-1-20-25-3-0-24-4-11-3-20-6-1-0-0-1-8-0-5-4-20-4-1-0-20-4-0-0-20-8-255-0-24-5-11-4-20-6-255-0-1-1-8-0-5-4-20-4-255-0-20-4-0-0-20-8-1-0-24-6-11-5-8-0-5-5-20-12-254-0-20-10-255-1-20-8-0-0-8-0-5-3-20-30-1-255-24-7-11-6-8-0-5-5-20-12-2-0-20-10-1-1-20-8-0-0-8-0-5-3-20-30-255-255-24-8-11-2-17-0-0-26-9-24-10-11-7-8-0-5-6-19-1-24-11-33-255
Clown Bomber (Attack once),MS_ubi_tnt,117,TYPE_CLOWN_TNT2,0,0,TNT,TNT,6,R1-KIT-EDU,80,96,30,0,1,255,False,,10-60-10-60,11-2-17-2-0-26-0-24-1-11-0-0-1-8-0-5-8-20-30-255-0-20-10-255-1-20-10-254-2-20-30-254-1-20-90-254-0-20-30-254-255-20-200-254-254-20-200-254-254-20-200-254-254-20-200-254-254-24-2-11-1-1-1-8-0-5-8-20-30-1-0-20-10-1-1-20-10-2-2-20-30-2-1-20-90-2-0-20-30-2-255-20-200-2-254-20-200-2-254-20-200-254-254-20-200-254-254-24-3-33-255
Clown Bomber (Flies at you),MS_ubi_tnt_kamikaze,118,TYPE_CLOWN_TNT3,0,0,TNT,TNT,6,R1-KIT-EDU,80,96,30,0,1,255,False,,10-20-10-20,11-2-17-2-0-26-0-24-1-11-0-8-0-5-1-0-200-24-2-11-1-8-0-5-1-1-200-24-3-33-255
Bomb (Clown),always,119,TYPE_TNT_BOMB,2,0,TNT,TNT,6,R1-KIT-EDU,80,98,74,0,0,254,False,,,2-254-33-255
Red Drummer,MS_batteur_fou,120,TYPE_BATTEUR_FOU,0,0,BTR,BTR,2,R1,160,248,0,0,200,255,False,,1-1-1-1-7-7-7-7-1,11-0-30-1-24-0-11-1-5-1-2-50-5-2-24-1-11-2-5-1-2-50-5-3-24-2-11-3-5-1-2-50-5-4-24-3-11-4-5-9-20-100-8-0-24-4-11-5-5-10-20-100-248-0-24-5-11-6-5-12-20-232-4-0-24-6-11-7-5-13-20-232-252-0-24-7-11-8-5-14-24-8-33-255
Flame Projectile (Mr Stone spawns cloud),always,121,TYPE_ECLAIR,2,3,ELE,ELE,3,R1-EDU,24,14,0,3,0,254,False,MS_BB1,1-7,11-0-0-100-23-0-11-1-1-100-23-1-33-255
Stone Dog (Mr Stone),always,122,TYPE_STONEDOG2,0,0,TIP,TIP,3,R1-EDU,80,96,64,3,2,254,False,MS_BB1,1-13-46-40-46-46-40-1-13-40,11-0-0-200-8-0-5-0-19-3-24-0-11-1-1-200-8-0-5-0-19-3-24-1-11-2-8-2-5-0-20-1-0-252-17-0-0-26-2-11-7-1-200-24-3-11-6-0-200-24-4-11-8-20-1-0-0-8-0-5-0-19-1-8-2-11-9-5-0-20-1-0-250-17-0-0-26-5-24-6-11-4-8-0-5-1-19-1-8-0-5-0-19-1-11-3-17-0-0-26-7-24-8-11-5-8-2-5-1-20-1-0-254-17-0-0-26-9-33-255
Antitoon (Charger),MS_ubi_blacktoon3,123,TYPE_BLACKTOON1,0,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,3,1,254,False,,1-1-21-27,11-1-30-200-24-0-11-4-8-0-5-2-19-1-20-1-0-254-24-1-11-2-0-200-24-2-11-3-1-200-24-3-33-255
Antitoon (Red Charger),MS_ubi_redtoon3,123,TYPE_BLACKTOON1,0,0,BLR,BLK,1,R1,80,80,48,3,1,254,False,,1-1-21-27,11-1-30-200-24-0-11-4-8-0-5-2-19-1-20-1-0-254-24-1-11-2-0-200-24-2-11-3-1-200-24-3-33-255
Antitoon (Chomper),MS_ubi_blacktoon2,123,TYPE_BLACKTOON1,0,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,2,1,254,False,,1-1-29-35,11-1-30-200-24-0-11-4-8-0-5-2-19-1-20-1-0-254-30-12-8-0-5-3-19-1-24-1-11-2-0-200-24-2-11-3-1-200-24-3-33-255
Antitoon (Red Chomper),MS_ubi_redtoon2,123,TYPE_BLACKTOON1,0,0,BLR,BLK,1,R1,80,80,48,2,1,254,False,,1-1-29-35,11-1-30-200-24-0-11-4-8-0-5-2-19-1-20-1-0-254-30-12-8-0-5-3-19-1-24-1-11-2-0-200-24-2-11-3-1-200-24-3-33-255
Antitoon (Red Insta-kill Charger),MS_ubi_redtoon3_insta,123,TYPE_BLACKTOON1,0,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,3,2,254,False,,1-1-21-27,11-1-30-200-24-0-11-4-8-0-5-2-19-1-20-1-0-254-24-1-11-2-0-200-24-2-11-3-1-200-24-3-33-255
Antitoon (Red Insta-kill Chomper),MS_ubi_redtoon2_insta,123,TYPE_BLACKTOON1,0,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,2,2,254,False,,1-1-29-35,11-1-30-200-24-0-11-4-8-0-5-2-19-1-20-1-0-254-30-12-8-0-5-3-19-1-24-1-11-2-0-200-24-2-11-3-1-200-24-3-33-255
Antitoon (Flyer),MS_ubi_blacktoon5,123,TYPE_BLACKTOON1,0,1,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,5,1,254,False,,1-7,11-3-1-200-24-0-11-2-0-200-24-1-33-255
Antitoon (Red Flyer),MS_ubi_redtoon5,123,TYPE_BLACKTOON1,0,1,BLR,BLK,1,R1,80,80,48,5,1,254,False,,1-7,11-3-1-200-24-0-11-2-0-200-24-1-33-255
Antitoon (Red Insta-kill Flyer),MS_ubi_redtoon5_insta,123,TYPE_BLACKTOON1,0,1,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,5,2,254,False,,1-7,11-3-1-200-24-0-11-2-0-200-24-1-33-255
Antitoon (Red Walker),MS_ubi_redtoon1,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1,R1,80,80,48,1,1,254,False,,1-7-13,11-2-0-200-24-0-11-3-1-200-24-1-11-1-30-200-24-2-33-255
Antitoon (Walker),MS_ubi_blacktoon1,123,TYPE_BLACKTOON1,1,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,1,1,254,False,,1-7-13,11-2-0-200-24-0-11-3-1-200-24-1-11-1-30-200-24-2-33-255
Antitoon (Red Walker and Jumper),MS_ubi_redtoon4,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1,R1,80,80,48,4,1,254,False,,1-7-25,11-2-0-200-24-0-11-3-1-200-24-1-11-4-8-0-5-2-19-1-20-1-0-254-11-1-30-200-24-2-33-255
Antitoon (Walker and Jumper),MS_ubi_blacktoon4,123,TYPE_BLACKTOON1,1,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,4,1,254,False,,1-7-25,11-2-0-200-24-0-11-3-1-200-24-1-11-4-8-0-5-2-19-1-20-1-0-254-11-1-30-200-24-2-33-255
Antitoon (Flies around to left),MS_ubi_blacktoon6,123,TYPE_BLACKTOON1,1,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,6,1,254,False,,3-13-21-29-37-43,11-99-5-0-20-1-240-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-16-0-23-2-11-99-20-1-0-255-23-3-11-2-0-200-24-4-11-3-1-200-24-5-33-255
Antitoon (Flies around to right),MS_ubi_blacktoon7,123,TYPE_BLACKTOON1,1,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,6,1,254,False,,3-13-21-29-37-43,11-99-5-0-20-1-16-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-240-0-23-2-11-99-20-1-0-255-23-3-11-2-0-200-24-4-11-3-1-200-24-5-33-255
Antitoon (Red Flies around to left),MS_ubi_redtoon6,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1,R1,80,80,48,6,1,254,False,,3-13-21-29-37-43,11-99-5-0-20-1-240-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-16-0-23-2-11-99-20-1-0-255-23-3-11-2-0-200-24-4-11-3-1-200-24-5-33-255
Antitoon (Red Flies around to right),MS_ubi_redtoon7,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1,R1,80,80,48,6,1,254,False,,3-13-21-29-37-43,11-99-5-0-20-1-16-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-240-0-23-2-11-99-20-1-0-255-23-3-11-2-0-200-24-4-11-3-1-200-24-5-33-255
Antitoon (Flies around to left and drops),MS_ubi_blacktoon7bis,123,TYPE_BLACKTOON1,1,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,7,1,254,False,,3-13-21-29-41-47-53,11-99-5-0-20-1-240-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-16-0-23-2-11-99-20-1-0-255-23-3-11-5-8-2-5-1-30-200-23-4-11-2-0-200-24-5-11-3-1-200-24-6-33-255
Antitoon (Flies around to right and drops),MS_ubi_blacktoon6bis,123,TYPE_BLACKTOON1,1,0,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,7,1,254,False,,3-13-21-29-41-47-53,11-99-5-0-20-1-16-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-240-0-23-2-11-99-20-1-0-255-23-3-11-5-8-2-5-1-30-200-23-4-11-2-0-200-24-5-11-3-1-200-24-6-33-255
Antitoon (Red Flies around to left and drops),MS_ubi_redtoon7bis,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1,R1,80,80,48,7,1,254,False,,3-13-21-29-41-47-53,11-99-5-0-20-1-240-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-16-0-23-2-11-99-20-1-0-255-23-3-11-5-8-2-5-1-30-200-23-4-11-2-0-200-24-5-11-3-1-200-24-6-33-255
Antitoon (Red Flies around to right and drops),MS_ubi_redtoon6bis,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1,R1,80,80,48,7,1,254,False,,3-13-21-29-41-47-53,11-99-5-0-20-1-16-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-240-0-23-2-11-99-20-1-0-255-23-3-11-5-8-2-5-1-30-200-23-4-11-2-0-200-24-5-11-3-1-200-24-6-33-255
Antitoon (Red Insta-kill Walker),MS_ubi_redtoon1_insta,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,1,2,254,False,,1-7-13,11-2-0-200-24-0-11-3-1-200-24-1-11-1-30-200-24-2-33-255
Antitoon (Red Insta-kill Walker and Jumper),MS_ubi_redtoon4_insta,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,4,2,254,False,,1-7-25,11-2-0-200-24-0-11-3-1-200-24-1-11-4-8-0-5-2-19-1-20-1-0-254-11-1-30-200-24-2-33-255
Antitoon (Red Insta-kill Flies around to left),MS_ubi_redtoon6_insta,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,6,2,254,False,,3-13-21-29-37-43,11-99-5-0-20-1-240-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-16-0-23-2-11-99-20-1-0-255-23-3-11-2-0-200-24-4-11-3-1-200-24-5-33-255
Antitoon (Red Insta-kill Flies around to right),MS_ubi_redtoon7_insta,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,6,2,254,False,,3-13-21-29-37-43,11-99-5-0-20-1-16-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-240-0-23-2-11-99-20-1-0-255-23-3-11-2-0-200-24-4-11-3-1-200-24-5-33-255
Antitoon (Red Insta-kill Flies around to left and drops),MS_ubi_blacktoon7bis_insta,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,7,2,254,False,,3-13-21-29-41-47-53,11-99-5-0-20-1-240-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-16-0-23-2-11-99-20-1-0-255-23-3-11-5-8-2-5-1-30-200-23-4-11-2-0-200-24-5-11-3-1-200-24-6-33-255
Antitoon (Red Insta-kill Flies around to right and drops),MS_ubi_blacktoon6bis_insta,123,TYPE_BLACKTOON1,1,0,BLR,BLK,1-2-3-4-5-6,KIT-EDU,80,80,48,7,2,254,False,,3-13-21-29-41-47-53,11-99-5-0-20-1-16-0-23-0-11-99-5-1-20-1-0-1-23-1-11-99-20-1-240-0-23-2-11-99-20-1-0-255-23-3-11-5-8-2-5-1-30-200-23-4-11-2-0-200-24-5-11-3-1-200-24-6-33-255
Sign Back Arrow,MS_pan2,124,TYPE_PANCARTE,0,13,ELE,ELE,1-2-3-4-5-6,R1-KIT-EDU,64,0,0,0,0,254,False,,,
Road Sign (Green Right Alt Type),MS_edu_dir5,124,TYPE_PANCARTE,0,14,ELE,ELE,1-2-3-4-5-6,KIT-EDU,64,0,0,0,0,0,False,,,
Road Sign (Red Left Alt Type),MS_edu_dir6,124,TYPE_PANCARTE,0,17,ELE,ELE,1-2-3-4-5-6,KIT-EDU,64,0,0,0,0,0,False,,,
Candy (Long platform),MS_pla_bon1,125,TYPE_BON3,0,1,PLA,PLA,6,R1-KIT-EDU,0,0,4,0,0,0,True,,,30-200-33-255
Candy (Long elastic platform),MS_pla_bon3,125,TYPE_BON3,0,2,PLA,PLA,6,R1-KIT-EDU,0,0,4,0,0,0,True,,,30-200-33-255
Fork,MS_pla_fouc,126,TYPE_FOURCHETTE,0,4,PLA,PLA,6,R1-KIT-EDU,0,0,0,0,0,254,False,,,30-200-33-255
Swiss Army Knife (Big),MS_pla_ctx,127,TYPE_COUTEAU_SUISSE,0,3,PLA,PLA,6,R1-KIT-EDU,0,0,0,0,0,254,False,,,30-200-33-255
Corkscrew,MS_pla_tirb,128,TYPE_TIRE_BOUCHON,0,8,PLA,PLA,6,R1-KIT-EDU,0,0,8,1,0,254,True,,,30-200-33-255
Swiss Army Knife (Right),MS_pla_pct1,129,TYPE_PETIT_COUTEAU,0,6,PLA,PLA,6,R1-KIT-EDU,120,160,4,0,2,254,True,,,30-200-33-255
Swiss Army Knige (Left),MS_pla_pctx,129,TYPE_PETIT_COUTEAU,0,7,PLA,PLA,6,R1-KIT-EDU,120,160,4,0,4,254,True,,,30-200-33-255
Antitoon's Eyes,always,130,TYPE_BLACKTOON_EYES,0,5,BLK,BLK,1-2-3-4-5-6,R1-KIT-EDU,80,80,48,0,0,0,False,MS_ubi_blacktoon1-MS_ubi_blacktoon2-MS_ubi_blacktoon3-MS_ubi_blacktoon4-MS_ubi_blacktoon5-MS_ubi_blacktoon6-MS_ubi_blacktoon6bis-MS_ubi_blacktoon7-MS_ubi_blacktoon7bis,,30-200-33-255
Mallet (Trampoline),MS_ubi_bag3,131,TYPE_BAG3,0,3,BAG,BAG,2,R1-KIT-EDU,112,112,10,0,0,253,True,,11,2-254-23-0-11-0-5-6-2-100-5-8-33-255
Fish With Teeth,MS_ubi_poi3,132,TYPE_POI3,2,12,POI,POI,5,R1-EDU,80,80,48,0,1,254,False,,1-1-29-29-57-69,11-10-5-12-1-1-20-1-1-0-19-1-24-0-11-14-5-15-1-1-20-1-0-0-19-1-24-1-11-9-5-12-0-1-20-1-255-0-19-1-24-2-11-13-5-15-0-1-20-1-0-0-19-1-24-3-11-12-5-18-20-1-0-5-19-1-24-4-11-11-30-200-24-5-33-255
Super Helicopter,MS_ubi_superhel,133,TYPE_SUPERHELICO,2,18,PNG,PNG,1-2-3-4-5-6,R1-KIT-EDU,80,75,50,0,0,254,False,,,2-254-33-255
Plum (Steady 2),MS_ubi_fr2,134,TYPE_FALLING_OBJ2,0,12,NEN,NEN,1,R1-KIT-EDU,20,30,9,0,1,254,True,,,2-254-33-255
Flame Projectile (Mr Stone),always,135,TYPE_ETINC,2,3,ELE,ELE,3,R1-EDU,24,14,0,3,0,254,False,MS_BB1,1-7,11-0-0-100-23-0-11-1-1-100-23-1-33-255
Little Rayman,always,136,TYPE_DEMI_RAYMAN,0,0,RED,RAY,1-2-3-5-6,R1-KIT-EDU,80,80,48,0,1,0,False,MS_ubi_demi-MS_dark_liliput,,2-254-33-255
Little Rayman,always,136,TYPE_DEMI_RAYMAN,0,0,RED,RAY,4,R1-KIT-EDU,80,80,48,0,1,0,False,MS_ubi_demi,,30-254-33-255
Shrink Fairy,MS_ubi_demi,137,TYPE_REDUCTEUR,5,53,PNG,PNG,1-2-3-4-5-6,KIT-EDU,80,32,0,0,200,254,False,,,2-254-33-255
Shrink Fairy,MS_ubi_demi,137,TYPE_REDUCTEUR,5,57,PNG,PNG,1-2-3-4-5-6,R1,80,32,0,0,200,254,False,,,2-254-33-255
Sprinkler 4 heads elastic (Left),MS_ubi_roulette2,138,TYPE_ROULETTE,0,10,NMP,MPL,2,R1-KIT-EDU,64,0,10,5,0,0,True,,53-7-15-23-31-39-47,2-254-23-0-11-1-5-11-20-1-254-0-23-1-11-99-20-1-0-254-23-2-11-99-20-1-1-0-23-3-11-99-20-1-0-2-23-4-11-99-20-1-254-0-23-5-11-99-20-1-0-0-23-6-33-255
Sprinkler 4 heads elastic (Right),MS_ubi_roulette,138,TYPE_ROULETTE,0,10,NMP,MPL,2,R1-KIT-EDU,64,0,10,5,0,0,True,,69-7-15-23-31-39-47-55-63,2-254-23-0-11-1-5-11-20-1-2-0-23-1-11-99-20-1-0-2-23-2-11-99-20-1-254-2-23-3-11-99-20-1-254-0-23-4-11-99-20-1-0-2-23-5-11-99-20-1-2-0-23-6-11-99-20-1-1-254-23-7-11-99-20-1-0-0-23-8-33-255
Sprinkler 4 heads elastic (Top-Right),MS_ubi_roulette3,138,TYPE_ROULETTE,0,10,NMP,MPL,2,R1-KIT-EDU,64,0,10,5,0,0,True,,69-7-15-23-31-39-47-55-63,2-254-23-0-11-1-5-11-20-1-2-254-23-1-11-99-20-1-0-254-23-2-11-99-20-1-2-0-23-3-11-99-20-1-0-2-23-4-11-99-20-1-254-0-23-5-11-99-20-1-0-2-23-6-11-99-20-1-2-0-23-7-11-99-20-1-0-0-23-8-33-255
Maracas (Flying),always,139,TYPE_MARACAS_BAS,2,3,NMP,MPL,2,R1-KIT-EDU,56,128,16,0,1,0,False,,,
Flying Ring (Falling),MS_ubi_pt_grap4,140,TYPE_PT_GRAPPIN,0,0,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,13-7,2-200-23-0-11-0-2-10-20-254-0-1-23-1-33-255
Flying Ring,MS_ubi_pt_grap,140,TYPE_PT_GRAPPIN,0,1,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,,2-254-33-255
Flying Ring (Horizontal),MS_ubi_pt_grap3,140,TYPE_PT_GRAPPIN,0,1,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,1-9,11-99-20-1-1-0-23-0-11-99-20-1-255-0-23-1-33-255
Flying Ring (Vertical),MS_ubi_pt_grap2,140,TYPE_PT_GRAPPIN,0,1,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,1-9,11-99-20-1-0-255-23-0-11-99-20-1-0-1-23-1-33-255
Flying Ring (Down on grab and stops),MS_ubi_pt_grap_start_down,140,TYPE_PT_GRAPPIN,0,2,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,23-9-17,2-10-23-0-11-0-5-1-11-99-20-1-0-2-23-1-11-99-20-1-0-0-23-2-33-255
Flying Ring (Left on grab and stops),MS_ubi_pt_grap_start_left,140,TYPE_PT_GRAPPIN,0,2,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,23-9-17,2-10-23-0-11-0-5-1-11-99-20-1-254-0-23-1-11-99-20-1-0-0-23-2-33-255
Flying Ring (Right on grab and stops),MS_ubi_pt_grap_start_right,140,TYPE_PT_GRAPPIN,0,2,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,23-9-17,2-10-23-0-11-0-5-1-11-99-20-1-2-0-23-1-11-99-20-1-0-0-23-2-33-255
Flying Ring (Up on grab and stops),MS_ubi_pt_grap_start_up,140,TYPE_PT_GRAPPIN,0,2,GRP,GRP,1-2-3-4-5-6,R1-KIT-EDU,36,32,20,0,1,255,False,,23-9-17,2-10-23-0-11-0-5-1-11-99-20-1-0-254-23-1-11-99-20-1-0-0-23-2-33-255
Snow (Stop?),MS_neige,141,TYPE_NEIGE,0,21,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Stop),MS_neige_stop,141,TYPE_NEIGE,0,22,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (fast rain),MS_neige_fastrain,141,TYPE_NEIGE,0,23,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Reset fast vertical speed),MS_neige_reset,141,TYPE_NEIGE,0,24,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Wind left),MS_neige_vent_left,141,TYPE_NEIGE,0,25,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Wind right),MS_neige_vent_right,141,TYPE_NEIGE,0,26,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Wind fast left),MS_neige_vent_left2,141,TYPE_NEIGE,0,27,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Wind fast right),MS_neige_vent_right2,141,TYPE_NEIGE,0,28,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (No wind),MS_neige_novent,141,TYPE_NEIGE,0,29,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Snow up then down),MS_neige_up_down,141,TYPE_NEIGE,0,30,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Snow (Start),MS_neige_start,141,TYPE_NEIGE,0,32,RAY,RAY,1-2-3-4-5-6,R1-EDU,5,5,0,0,1,254,False,,,
Oneup,MS_oneup,142,TYPE_ONEUP,5,19,PNG,PNG,1-2-3-4-5-6,R1-KIT-EDU,80,64,32,0,200,0,False,,,2-254-33-255
Item collected,always,143,TYPE_NOVA2,5,20,PNG,PNG,1-2-3-5-6,R1-KIT-EDU,80,64,48,0,0,0,False,,,2-254-33-255
Item collected,always,143,TYPE_NOVA2,5,20,PNG,PNG,4,R1-KIT-EDU,80,64,48,0,0,0,False,,,30-254-33-255
Eyes Evil,MS_ubi_eye,145,TYPE_KILLING_EYES,0,0,BYE,BYE,2-4-5,R1-KIT-EDU,80,96,50,0,4,255,False,,,2-254-33-255
Lightning Bolt,always,146,TYPE_FLASH,0,4,BYE,BYE,2-5,R1-KIT-EDU,80,80,0,0,0,254,False,MS_ubi_eye,,2-254-33-255
Lightning Bolt,always,146,TYPE_FLASH,0,4,BYE,BYE,4,R1-KIT-EDU,80,80,0,0,0,254,False,MS_ubi_eye,,30-254-33-255
Moskito Chase (Shaking),MS_ubi_mst_scroll-MS_ubi_mst_present1,147,TYPE_MST_SCROLL,0,2,MST,MST,1,R1-KIT-EDU,80,96,0,0,0,254,False,,,2-254-33-255
Moskito Chase (Moves in),MS_ubi_mst_present2,147,TYPE_MST_SCROLL,0,2,MST,MST,1,R1-KIT-EDU,80,96,0,0,1,0,False,,,2-254-33-255
Moskito Chase (Moves out),MS_ubi_mst_present3,147,TYPE_MST_SCROLL,0,2,MST,MST,1,R1-KIT-EDU,80,96,0,0,2,0,False,,,2-254-33-255
Treble Clef,MS_cle_sol,149,TYPE_CLE_SOL,0,0,CLE,CLE,2,R1-KIT-EDU,56,128,16,0,0,0,False,,,2-254-33-255
